"AGE","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","ICCC_GROUP","POPULATION","YEAR","SERIALID"
"0-14","null","null","null","null","Not classified by ICCC",53577590,"2000-04-01 00:00:00",181
"0-19","0.100000001490116","0.400000005960464","0.200000002980232","17","Not classified by ICCC",71576680,"2000-04-01 00:00:00",182
"0-14","3.90000009536743","5","4.40000009536743","235","V Retinoblastoma",53577590,"2000-04-01 00:00:00",183
"0-19","2.90000009536743","3.79999995231628","3.29999995231628","236","V Retinoblastoma",71576680,"2000-04-01 00:00:00",184
"0-14","8","9.60000038146973","8.80000019073486","467","VI Renal tumors",53577590,"2000-04-01 00:00:00",185
"0-19","6.30000019073486","7.5","6.90000009536743","487","VI Renal tumors",71576680,"2000-04-01 00:00:00",186
"0-14","7.59999990463257","9.19999980926514","8.39999961853027","446","VI(a) Nephroblastoma and other nonepithelial renal tumors",53577590,"2000-04-01 00:00:00",187
"0-19","5.80000019073486","7","6.30000019073486","450","VI(a) Nephroblastoma and other nonepithelial renal tumors",71576680,"2000-04-01 00:00:00",188
"0-14","0.200000002980232","0.600000023841858","0.400000005960464","20","VI(b) Renal carcinomas",53577590,"2000-04-01 00:00:00",189
"0-19","0.300000011920929","0.699999988079071","0.5","35","VI(b) Renal carcinomas",71576680,"2000-04-01 00:00:00",190
"0-14","null","null","null","null","VI(c) Unspecified malignant renal tumors",53577590,"2000-04-01 00:00:00",191
"0-19","null","null","null","null","VI(c) Unspecified malignant renal tumors",71576680,"2000-04-01 00:00:00",192
"0-14","1.89999997615814","2.70000004768372","2.29999995231628","120","VII Hepatic tumors",53577590,"2000-04-01 00:00:00",193
"0-19","1.60000002384186","2.20000004768372","1.89999997615814","134","VII Hepatic tumors",71576680,"2000-04-01 00:00:00",194
"0-14","1.70000004768372","2.40000009536743","2","107","VII(a) Hepatoblastoma",53577590,"2000-04-01 00:00:00",195
"0-19","1.20000004768372","1.79999995231628","1.5","107","VII(a) Hepatoblastoma",71576680,"2000-04-01 00:00:00",196
"0-14","null","null","null","null","VII(b) Hepatic carcinomas",53577590,"2000-04-01 00:00:00",197
"0-19","0.200000002980232","0.5","0.400000005960464","27","VII(b) Hepatic carcinomas",71576680,"2000-04-01 00:00:00",198
"0-14","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",53577590,"2000-04-01 00:00:00",199
"0-19","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",71576680,"2000-04-01 00:00:00",200
"0-14","6","7.40000009536743","6.69999980926514","360","VIII Malignant bone tumors",53577590,"2000-04-01 00:00:00",201
"0-19","7.90000009536743","9.19999980926514","8.5","613","VIII Malignant bone tumors",71576680,"2000-04-01 00:00:00",202
"0-14","3.20000004768372","4.30000019073486","3.70000004768372","201","VIII(a) Osteosarcomas",53577590,"2000-04-01 00:00:00",203
"0-19","4.30000019073486","5.40000009536743","4.80000019073486","347","VIII(a) Osteosarcomas",71576680,"2000-04-01 00:00:00",204
"0-14","null","null","null","null","VIII(b) Chondrosarcomas",53577590,"2000-04-01 00:00:00",205
"0-19","null","null","null","null","VIII(b) Chondrosarcomas",71576680,"2000-04-01 00:00:00",206
"0-14","2.20000004768372","3.09999990463257","2.59999990463257","142","VIII(c) Ewing tumor and related sarcomas of bone",53577590,"2000-04-01 00:00:00",207
"0-19","2.70000004768372","3.5","3.09999990463257","223","VIII(c) Ewing tumor and related sarcomas of bone",71576680,"2000-04-01 00:00:00",208
"0-14","null","null","null","null","VIII(d) Other specified malignant bone tumors",53577590,"2000-04-01 00:00:00",209
"0-19","0.100000001490116","0.400000005960464","0.200000002980232","17","VIII(d) Other specified malignant bone tumors",71576680,"2000-04-01 00:00:00",210
"0-14","null","null","null","null","VIII(e) Unspecified malignant bone tumors",53577590,"2000-04-01 00:00:00",211
