"AGE","AGE_SPECIFIC_CI_LOWER","AGE_SPECIFIC_CI_UPPER","AGE_SPECIFIC_RATE","COUNT","EVENT_TYPE","POPULATION","SITE","YEAR","SERIALID"
"<1","null","null","null","null","Mortality",3795762,"Urinary Bladder","1999-04-01 00:00:00",245
"1-4","null","null","null","null","Incidence",13297303,"Urinary Bladder","1999-04-01 00:00:00",246
"10-14","null","null","null","null","Incidence",17507634,"Urinary Bladder","1999-04-01 00:00:00",247
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","18","Incidence",17355940,"Urinary Bladder","1999-04-01 00:00:00",248
"5-9","null","null","null","null","Incidence",17879968,"Urinary Bladder","1999-04-01 00:00:00",249
"<1","null","null","null","null","Incidence",3280395,"Urinary Bladder","1999-04-01 00:00:00",250
"1-4","2.5","3","2.70000004768372","420","Mortality",15322337,"All Cancer Sites Combined","2000-04-01 00:00:00",251
"10-14","2.29999995231628","2.79999995231628","2.5","525","Mortality",20637696,"All Cancer Sites Combined","2000-04-01 00:00:00",252
"15-19","3.40000009536743","3.90000009536743","3.70000004768372","745","Mortality",20294955,"All Cancer Sites Combined","2000-04-01 00:00:00",253
"5-9","2.20000004768372","2.59999990463257","2.40000009536743","489","Mortality",20463852,"All Cancer Sites Combined","2000-04-01 00:00:00",254
"<1","1.89999997615814","2.90000009536743","2.40000009536743","92","Mortality",3855956,"All Cancer Sites Combined","2000-04-01 00:00:00",255
"1-4","19.7999992370605","21.2999992370605","20.5","2793","Incidence",13615288,"All Cancer Sites Combined","2000-04-01 00:00:00",256
"10-14","11.8999996185303","12.8999996185303","12.3999996185303","2271","Incidence",18336708,"All Cancer Sites Combined","2000-04-01 00:00:00",257
"15-19","20","21.2999992370605","20.6000003814697","3712","Incidence",17999090,"All Cancer Sites Combined","2000-04-01 00:00:00",258
"5-9","11.1000003814697","12.1000003814697","11.6000003814697","2115","Incidence",18205547,"All Cancer Sites Combined","2000-04-01 00:00:00",259
"<1","22.2000007629395","25.5","23.7999992370605","813","Incidence",3420047,"All Cancer Sites Combined","2000-04-01 00:00:00",260
"1-4","0.600000023841858","0.800000011920929","0.699999988079071","104","Mortality",15322337,"Brain and Other Nervous System","2000-04-01 00:00:00",261
"10-14","0.600000023841858","0.899999976158142","0.699999988079071","150","Mortality",20637696,"Brain and Other Nervous System","2000-04-01 00:00:00",262
"15-19","0.400000005960464","0.600000023841858","0.5","105","Mortality",20294955,"Brain and Other Nervous System","2000-04-01 00:00:00",263
"5-9","0.699999988079071","0.899999976158142","0.800000011920929","166","Mortality",20463852,"Brain and Other Nervous System","2000-04-01 00:00:00",264
"<1","0.300000011920929","0.800000011920929","0.5","20","Mortality",3855956,"Brain and Other Nervous System","2000-04-01 00:00:00",265
"1-4","3.70000004768372","4.40000009536743","4.09999990463257","553","Incidence",13615288,"Brain and Other Nervous System","2000-04-01 00:00:00",266
"10-14","2.5","3","2.79999995231628","506","Incidence",18336708,"Brain and Other Nervous System","2000-04-01 00:00:00",267
"15-19","2","2.40000009536743","2.20000004768372","399","Incidence",17999090,"Brain and Other Nervous System","2000-04-01 00:00:00",268
"5-9","3.20000004768372","3.70000004768372","3.40000009536743","625","Incidence",18205547,"Brain and Other Nervous System","2000-04-01 00:00:00",269
"<1","3.40000009536743","4.69999980926514","4","137","Incidence",3420047,"Brain and Other Nervous System","2000-04-01 00:00:00",270
"1-4","null","null","null","null","Mortality",7485852,"Cervix","2000-04-01 00:00:00",271
"10-14","null","null","null","null","Mortality",10063054,"Cervix","2000-04-01 00:00:00",272
"15-19","null","null","null","null","Mortality",9854932,"Cervix","2000-04-01 00:00:00",273
"5-9","null","null","null","null","Mortality",9984495,"Cervix","2000-04-01 00:00:00",274
"<1","null","null","null","null","Mortality",1881822,"Cervix","2000-04-01 00:00:00",275
"1-4","null","null","null","null","Incidence",6652363,"Cervix","2000-04-01 00:00:00",276
"10-14","null","null","null","null","Incidence",8939084,"Cervix","2000-04-01 00:00:00",277
"15-19","0.200000002980232","0.400000005960464","0.300000011920929","22","Incidence",8737817,"Cervix","2000-04-01 00:00:00",278
"5-9","null","null","null","null","Incidence",8883236,"Cervix","2000-04-01 00:00:00",279
"<1","null","null","null","null","Incidence",1668985,"Cervix","2000-04-01 00:00:00",280
"1-4","null","null","null","null","Mortality",15322337,"Colon and Rectum","2000-04-01 00:00:00",281
"10-14","null","null","null","null","Mortality",20637696,"Colon and Rectum","2000-04-01 00:00:00",282
