"AGE","AGE_SPECIFIC_CI_LOWER","AGE_SPECIFIC_CI_UPPER","AGE_SPECIFIC_RATE","COUNT","ICCC_GROUP","POPULATION","YEAR","SERIALID"
"<1","null","null","null","null","VII(b) Hepatic carcinomas",3280395,"1999-04-01 00:00:00",191
"1-4","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",13297303,"1999-04-01 00:00:00",192
"10-14","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",17507634,"1999-04-01 00:00:00",193
"15-19","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",17355940,"1999-04-01 00:00:00",194
"5-9","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",17879968,"1999-04-01 00:00:00",195
"<1","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",3280395,"1999-04-01 00:00:00",196
"1-4","1","2.40000009536743","1.60000002384186","21","VIII Malignant bone tumors",13297303,"1999-04-01 00:00:00",197
"10-14","12.8999996185303","16.5","14.6000003814697","256","VIII Malignant bone tumors",17507634,"1999-04-01 00:00:00",198
"15-19","12.1999998092651","15.8000001907349","13.8999996185303","241","VIII Malignant bone tumors",17355940,"1999-04-01 00:00:00",199
"5-9","4.40000009536743","6.69999980926514","5.5","98","VIII Malignant bone tumors",17879968,"1999-04-01 00:00:00",200
"<1","null","null","null","null","VIII Malignant bone tumors",3280395,"1999-04-01 00:00:00",201
"1-4","null","null","null","null","VIII(a) Osteosarcomas",13297303,"1999-04-01 00:00:00",202
"10-14","7.80000019073486","10.6999998092651","9.10000038146973","160","VIII(a) Osteosarcomas",17507634,"1999-04-01 00:00:00",203
"15-19","6.59999990463257","9.30000019073486","7.90000009536743","137","VIII(a) Osteosarcomas",17355940,"1999-04-01 00:00:00",204
"5-9","2.09999990463257","3.79999995231628","2.90000009536743","51","VIII(a) Osteosarcomas",17879968,"1999-04-01 00:00:00",205
"<1","null","null","null","null","VIII(a) Osteosarcomas",3280395,"1999-04-01 00:00:00",206
"1-4","null","null","null","null","VIII(b) Chondrosarcomas",13297303,"1999-04-01 00:00:00",207
"10-14","null","null","null","null","VIII(b) Chondrosarcomas",17507634,"1999-04-01 00:00:00",208
"15-19","0.600000023841858","1.60000002384186","1","17","VIII(b) Chondrosarcomas",17355940,"1999-04-01 00:00:00",209
"5-9","null","null","null","null","VIII(b) Chondrosarcomas",17879968,"1999-04-01 00:00:00",210
"<1","null","null","null","null","VIII(b) Chondrosarcomas",3280395,"1999-04-01 00:00:00",211
"1-4","null","null","null","null","VIII(c) Ewing tumor and related sarcomas of bone",13297303,"1999-04-01 00:00:00",212
"10-14","3.70000004768372","5.80000019073486","4.59999990463257","81","VIII(c) Ewing tumor and related sarcomas of bone",17507634,"1999-04-01 00:00:00",213
"15-19","2.90000009536743","4.80000019073486","3.79999995231628","66","VIII(c) Ewing tumor and related sarcomas of bone",17355940,"1999-04-01 00:00:00",214
"5-9","1.39999997615814","2.79999995231628","2","36","VIII(c) Ewing tumor and related sarcomas of bone",17879968,"1999-04-01 00:00:00",215
"<1","null","null","null","null","VIII(c) Ewing tumor and related sarcomas of bone",3280395,"1999-04-01 00:00:00",216
"1-4","null","null","null","null","VIII(d) Other specified malignant bone tumors",13297303,"1999-04-01 00:00:00",217
"10-14","null","null","null","null","VIII(d) Other specified malignant bone tumors",17507634,"1999-04-01 00:00:00",218
"15-19","0.600000023841858","1.60000002384186","1","17","VIII(d) Other specified malignant bone tumors",17355940,"1999-04-01 00:00:00",219
