"AGE","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","BEHAVIOR","COUNT","POPULATION","SEX","SITE","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE","SERIALID"
"0-19","0.600000023841858","0.699999988079071","0.600000023841858","Malignant","253",39875033,"Female","Glioma malignant, NOS","2008-04-01 00:00:00","0.600000023841858","0.699999988079071","0.600000023841858",204
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Glioma malignant, NOS","2009-04-01 00:00:00","null","null","null",205
"0-19","0.600000023841858","0.800000011920929","0.699999988079071","Malignant","278",39970215,"Female","Glioma malignant, NOS","2009-04-01 00:00:00","0.600000023841858","0.800000011920929","0.699999988079071",206
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Glioma malignant, NOS","2010-04-01 00:00:00","null","null","null",207
"0-19","0.5","0.600000023841858","0.600000023841858","Malignant","217",39544072,"Female","Glioma malignant, NOS","2010-04-01 00:00:00","0.5","0.600000023841858","0.5",208
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Hemangioblastoma","2004-04-01 00:00:00","null","null","null",209
"0-19","null","null","null","Malignant","null",38177564,"Female","Hemangioblastoma","2004-04-01 00:00:00","null","null","null",210
"0-19","0","0.100000001490116","0","Benign/Borderline","16",38305772,"Female","Hemangioblastoma","2005-04-01 00:00:00","0","0.100000001490116","0",211
"0-19","null","null","null","Malignant","null",38305772,"Female","Hemangioblastoma","2005-04-01 00:00:00","null","null","null",212
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Hemangioblastoma","2006-04-01 00:00:00","null","null","null",213
"0-19","null","null","null","Malignant","null",38466303,"Female","Hemangioblastoma","2006-04-01 00:00:00","null","null","null",214
"0-19","0","0.100000001490116","0","Benign/Borderline","17",39682297,"Female","Hemangioblastoma","2007-04-01 00:00:00","0","0.100000001490116","0",217
"0-19","null","null","null","Malignant","null",39682297,"Female","Hemangioblastoma","2007-04-01 00:00:00","null","null","null",218
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Hemangioblastoma","2008-04-01 00:00:00","null","null","null",219
"0-19","null","null","null","Malignant","null",39875033,"Female","Hemangioblastoma","2008-04-01 00:00:00","null","null","null",220
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Hemangioblastoma","2009-04-01 00:00:00","null","null","null",221
"0-19","null","null","null","Malignant","null",39970215,"Female","Hemangioblastoma","2009-04-01 00:00:00","null","null","null",222
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Hemangioblastoma","2010-04-01 00:00:00","null","null","null",223
"0-19","null","null","null","Malignant","null",39544072,"Female","Hemangioblastoma","2010-04-01 00:00:00","null","null","null",224
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Hemangioma","2004-04-01 00:00:00","null","null","null",225
"0-19","null","null","null","Malignant","null",38177564,"Female","Hemangioma","2004-04-01 00:00:00","null","null","null",226
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","22",38305772,"Female","Hemangioma","2005-04-01 00:00:00","0","0.100000001490116","0.100000001490116",227
"0-19","null","null","null","Malignant","null",38305772,"Female","Hemangioma","2005-04-01 00:00:00","null","null","null",228
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","24",38466303,"Female","Hemangioma","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",229
"0-19","null","null","null","Malignant","null",38466303,"Female","Hemangioma","2006-04-01 00:00:00","null","null","null",230
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","23",39682297,"Female","Hemangioma","2007-04-01 00:00:00","0","0.100000001490116","0.100000001490116",233
"0-19","null","null","null","Malignant","null",39682297,"Female","Hemangioma","2007-04-01 00:00:00","null","null","null",234
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","38",39875033,"Female","Hemangioma","2008-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",235
"0-19","null","null","null","Malignant","null",39875033,"Female","Hemangioma","2008-04-01 00:00:00","null","null","null",236
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","42",39970215,"Female","Hemangioma","2009-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",237
"0-19","null","null","null","Malignant","null",39970215,"Female","Hemangioma","2009-04-01 00:00:00","null","null","null",238
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","35",39544072,"Female","Hemangioma","2010-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",239
"0-19","null","null","null","Malignant","null",39544072,"Female","Hemangioma","2010-04-01 00:00:00","null","null","null",240
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Local Extensions from Regional Tumors","2004-04-01 00:00:00","null","null","null",241
"0-19","null","null","null","Malignant","null",38177564,"Female","Local Extensions from Regional Tumors","2004-04-01 00:00:00","null","null","null",242
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Local Extensions from Regional Tumors","2005-04-01 00:00:00","null","null","null",243
